,original_img_path,cell_image_path,label
0,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1A.jpg,7
1,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1B.jpg,7
2,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1C.jpg,7
3,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1D.jpg,7
4,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1E.jpg,7
5,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1F.jpg,7
6,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1G.jpg,7
7,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1H.jpg,7
8,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1I.jpg,7
9,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1J.jpg,7
10,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1K.jpg,7
11,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1L.jpg,7
12,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1M.jpg,7
13,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1N.jpg,7
14,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_1O.jpg,7
15,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2A.jpg,7
16,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2B.jpg,7
17,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2C.jpg,7
18,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2D.jpg,7
19,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2E.jpg,7
20,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2F.jpg,7
21,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2G.jpg,7
22,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2H.jpg,7
23,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2I.jpg,7
24,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2J.jpg,7
25,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2K.jpg,7
26,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2L.jpg,7
27,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2M.jpg,7
28,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2N.jpg,7
29,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_2O.jpg,7
30,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3A.jpg,7
31,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3B.jpg,7
32,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3C.jpg,7
33,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3D.jpg,7
34,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3E.jpg,7
35,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3F.jpg,7
36,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3G.jpg,7
37,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3H.jpg,7
38,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3I.jpg,7
39,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3J.jpg,7
40,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3K.jpg,7
41,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3L.jpg,7
42,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3M.jpg,7
43,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3N.jpg,7
44,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_3O.jpg,7
45,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4A.jpg,7
46,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4B.jpg,7
47,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4C.jpg,7
48,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4D.jpg,7
49,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4E.jpg,7
50,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4F.jpg,7
51,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4G.jpg,7
52,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4H.jpg,7
53,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4I.jpg,7
54,../data/train/input/regular_task/1_01.jpg,../data/cell/train/grid_1/cell_4J.jpg,7
